UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19276336     RESP   1816 
     19276344     RESP   1888 
     19276352     RESP   1903 
     19276360     RESP   1845 
     19276368     RESP   1845 
     19276376     RESP   1888 
     19276384     RESP   1903 
     19276392     RESP   1917 
     19276400     RESP   1932 
     19276408     RESP   1975 
     19276416     RESP   2004 
     19276424     RESP   2091 
     19276432     RESP   2178 
     19276440     RESP   2236 
     19276448     RESP   2280 
     19276456     RESP   2309 
     19276464     RESP   2323 
     19276472     RESP   2294 
     19276480     RESP   2309 
     19276488     RESP   2294 
     19276496     RESP   2280 
     19276504     RESP   2309 
     19276512     RESP   2309 
     19276520     RESP   2323 
     19276528     RESP   2309 
     19276536     RESP   2352 
     19276544     RESP   2338 
     19276552     RESP   2294 
     19276560     RESP   2309 
     19276568     RESP   2309 
     19276576     RESP   2294 
     19276584     RESP   2294 
     19276592     RESP   2280 
     19276600     RESP   2265 
     19276608     RESP   2280 
     19276616     RESP   2265 
     19276624     RESP   2323 
     19276632     RESP   2309 
     19276640     RESP   2323 
     19276648     RESP   2294 
     19276656     RESP   2236 
     19276664     RESP   2164 
     19276672     RESP   2091 
     19276680     RESP   2135 
     19276688     RESP   2207 
     19276696     RESP   2251 
     19276704     RESP   2265 
     19276712     RESP   2309 
     19276720     RESP   2323 
     19276728     RESP   2294 
     19276736     RESP   2280 
     19276744     RESP   2222 
     19276752     RESP   2178 
     19276760     RESP   2149 
     19276768     RESP   2106 
     19276776     RESP   2033 
     19276784     RESP   1990 
     19276792     RESP   1990 
     19276800     RESP   2019 
     19276808     RESP   1990 
     19276816     RESP   1961 
     19276824     RESP   1917 
     19276832     RESP   1845 
     19276840     RESP   1743 
     19276848     RESP   1656 
     19276856     RESP   1569 
     19276864     RESP   1439 
     19276872     RESP   1352 
     19276880     RESP   1308 
     19276888     RESP   1250 
     19276896     RESP   1163 
     19276904     RESP   1120 
     19276912     RESP   1076 
     19276920     RESP    975 
     19276928     RESP    902 
     19276936     RESP    844 
     19276944     RESP    801 
     19276952     RESP    728 
     19276960     RESP    714 
     19276968     RESP    685 
     19276976     RESP    612 
     19276984     RESP    583 
     19276992     RESP    598 
     19277000     RESP    612 
     19277008     RESP    583 
     19277016     RESP    612 
     19277024     RESP    598 
     19277032     RESP    496 
     19277040     RESP    409 
     19277048     RESP    322 
     19277056     RESP    322 
     19277064     RESP    380 
     19277072     RESP    453 
     19277080     RESP    511 
     19277088     RESP    583 
     19277096     RESP    656 
     19277104     RESP    670 
     19277112     RESP    627 
     19277120     RESP    554 
     19277128     RESP    511 
     19277136     RESP    482 
     19277144     RESP    482 
     19277152     RESP    496 
     19277160     RESP    496 
     19277168     RESP    511 
     19277176     RESP    554 
     19277184     RESP    612 
     19277192     RESP    685 
     19277200     RESP    699 
     19277208     RESP    743 
     19277216     RESP    757 
     19277224     RESP    757 
     19277232     RESP    772 
     19277240     RESP    830 
     19277248     RESP    830 
     19277256     RESP    830 
     19277264     RESP    888 
     19277272     RESP    902 
     19277280     RESP    902 
     19277288     RESP    946 
     19277296     RESP   1004 
     19277304     RESP   1018 
     19277312     RESP   1033 
     19277320     RESP   1076 
     19277328     RESP   1105 
     19277336     RESP   1105 
     19277344     RESP   1149 
     19277352     RESP   1178 
     19277360     RESP   1207 
     19277368     RESP   1207 
     19277376     RESP   1250 
     19277384     RESP   1221 
     19277392     RESP   1250 
     19277400     RESP   1308 
     19277408     RESP   1366 
     19277416     RESP   1439 
