UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19272018     PULS   1341 
     19272020     PULS   1329 
     19272022     PULS   1318 
     19272024     PULS   1307 
     19272026     PULS   1297 
     19272028     PULS   1288 
     19272030     PULS   1280 
     19272032     PULS   1271 
     19272034     PULS   1264 
     19272036     PULS   1257 
     19272038     PULS   1250 
     19272040     PULS   1245 
     19272042     PULS   1239 
     19272044     PULS   1235 
     19272046     PULS   1231 
     19272048     PULS   1227 
     19272050     PULS   1224 
     19272052     PULS   1221 
     19272054     PULS   1219 
     19272056     PULS   1217 
     19272058     PULS   1215 
     19272060     PULS   1214 
     19272062     PULS   1214 
     19272064     PULS   1214 
     19272066     PULS   1214 
     19272068     PULS   1215 
     19272070     PULS   1216 
     19272072     PULS   1217 
     19272074     PULS   1219 
     19272076     PULS   1220 
     19272078     PULS   1222 
     19272080     PULS   1224 
     19272082     PULS   1227 
     19272084     PULS   1229 
     19272086     PULS   1232 
     19272088     PULS   1236 
     19272090     PULS   1240 
     19272092     PULS   1244 
     19272094     PULS   1248 
     19272096     PULS   1253 
     19272098     PULS   1258 
     19272100     PULS   1264 
     19272102     PULS   1269 
     19272104     PULS   1275 
     19272106     PULS   1281 
     19272108     PULS   1287 
     19272110     PULS   1294 
     19272112     PULS   1301 
     19272114     PULS   1308 
     19272116     PULS   1315 
     19272118     PULS   1322 
     19272120     PULS   1329 
     19272122     PULS   1337 
     19272124     PULS   1344 
     19272126     PULS   1352 
     19272128     PULS   1359 
     19272130     PULS   1367 
     19272132     PULS   1375 
     19272134     PULS   1382 
     19272136     PULS   1390 
     19272138     PULS   1398 
     19272140     PULS   1406 
     19272142     PULS   1414 
     19272144     PULS   1423 
     19272146     PULS   1432 
     19272148     PULS   1442 
     19272150     PULS   1454 
     19272152     PULS   1469 
     19272154     PULS   1488 
     19272156     PULS   1513 
     19272158     PULS   1546 
     19272160     PULS   1589 
     19272162     PULS   1642 
     19272164     PULS   1708 
     19272166     PULS   1786 
     19272168     PULS   1876 
     19272170     PULS   1977 
     19272172     PULS   2087 
     19272174     PULS   2204 
     19272176     PULS   2326 
     19272178     PULS   2450 
     19272180     PULS   2575 
     19272182     PULS   2699 
     19272184     PULS   2819 
     19272186     PULS   2936 
     19272188     PULS   3047 
     19272190     PULS   4095 
     19272192     PULS   4095 
     19272194     PULS   4095 
     19272196     PULS   4095 
     19272198     PULS   4095 
     19272200     PULS   4095 
     19272202     PULS   4095 
     19272204     PULS   4095 
     19272206     PULS   4095 
     19272208     PULS   4095 
     19272210     PULS   4095 
     19272212     PULS   4095 
     19272214     PULS   4095 
     19272216     PULS   4095 
     19272218     PULS   4095 
     19272220     PULS   4095 
     19272222     PULS   4095 
     19272224     PULS   4095 
     19272226     PULS   4095 
     19272228     PULS   4095 
     19272230     PULS   4095 
     19272232     PULS   4095 
     19272234     PULS   4095 
     19272236     PULS   4095 
     19272238     PULS   4095 
     19272240     PULS   4095 
     19272242     PULS   4095 
     19272244     PULS   4095 
     19272246     PULS   4095 
     19272248     PULS   4095 
     19272250     PULS   4095 
     19272252     PULS   4095 
     19272254     PULS   3020 
     19272256     PULS   2966 
     19272258     PULS   2913 
     19272260     PULS   2859 
     19272262     PULS   2806 
     19272264     PULS   2754 
     19272266     PULS   2703 
     19272268     PULS   2652 
     19272270     PULS   2603 
     19272272     PULS   2555 
     19272274     PULS   2510 
     19272276     PULS   2465 
     19272278     PULS   2423 
     19272280     PULS   2384 
     19272282     PULS   2346 
     19272284     PULS   2312 
     19272286     PULS   2280 
     19272288     PULS   2252 
     19272290     PULS   2226 
     19272292     PULS   2203 
     19272294     PULS   2184 
     19272296     PULS   2167 
     19272298     PULS   2154 
     19272300     PULS   2143 
     19272302     PULS   2134 
     19272304     PULS   2127 
     19272306     PULS   2123 
     19272308     PULS   2121 
     19272310     PULS   2120 
     19272312     PULS   2121 
     19272314     PULS   2122 
     19272316     PULS   2124 
     19272318     PULS   2126 
     19272320     PULS   2128 
     19272322     PULS   2131 
     19272324     PULS   2132 
     19272326     PULS   2133 
     19272328     PULS   2133 
     19272330     PULS   2132 
     19272332     PULS   2130 
     19272334     PULS   2127 
     19272336     PULS   2124 
     19272338     PULS   2119 
     19272340     PULS   2113 
     19272342     PULS   2105 
     19272344     PULS   2096 
     19272346     PULS   2085 
     19272348     PULS   2073 
     19272350     PULS   2060 
     19272352     PULS   2045 
     19272354     PULS   2030 
     19272356     PULS   2012 
     19272358     PULS   1994 
     19272360     PULS   1974 
     19272362     PULS   1953 
     19272364     PULS   1932 
     19272366     PULS   1910 
     19272368     PULS   1887 
     19272370     PULS   1864 
     19272372     PULS   1840 
     19272374     PULS   1816 
     19272376     PULS   1793 
     19272378     PULS   1769 
     19272380     PULS   1745 
     19272382     PULS   1721 
     19272384     PULS   1698 
     19272386     PULS   1675 
     19272388     PULS   1652 
     19272390     PULS   1630 
     19272392     PULS   1608 
     19272394     PULS   1587 
     19272396     PULS   1567 
     19272398     PULS   1547 
     19272400     PULS   1528 
     19272402     PULS   1510 
     19272404     PULS   1492 
     19272406     PULS   1475 
     19272408     PULS   1459 
     19272410     PULS   1444 
     19272412     PULS   1430 
     19272414     PULS   1416 
     19272416     PULS   1403 
     19272418     PULS   1390 
     19272420     PULS   1379 
     19272422     PULS   1368 
     19272424     PULS   1357 
     19272426     PULS   1347 
     19272428     PULS   1338 
     19272430     PULS   1329 
     19272432     PULS   1321 
     19272434     PULS   1314 
     19272436     PULS   1307 
     19272438     PULS   1301 
     19272440     PULS   1296 
     19272442     PULS   1291 
     19272444     PULS   1286 
     19272446     PULS   1282 
